#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
0,"ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,Other,2025-01-31,Model Contract,,,,,ocds-591adf-MN8223166332RC,,
1,"ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  ХАМТРАН АЖИЛЛАХ ГЭРЭЭ",,Other,2025-01-30,Model Contract,,,,,ocds-591adf-MN0113539065RC,,
2,"ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН ХАМТЫН АЖИЛЛАГААНЫ ГЭРЭЭ",,Other,2025-01-30,Model Contract,,,,,ocds-591adf-MN0358859208RC,,
3,"ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,Other,2025-01-30,Model Contract,,,,,ocds-591adf-MN0358859208RC-1391,,
4,"Орхон аймаг, Зэс эрдэнийн хувь ХХК-ийн 2025 оны хамтын ажиллагааны төлөвлөгөө",,Other,2025-01-30,Model Contract,,,,,ocds-591adf-MN5140443696RC,,
5,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2025-01-22,Contract,,,Хамар буянтын адаг,,ocds-591adf-MN5860466568RC,,
6,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2025-01-17,Contract,,,Улаан өндөр-2,,ocds-591adf-MN4672069645RC,,
7,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2025-01-13,Contract,,,Улаан өндөр-2,,ocds-591adf-MN1766243547RC,,
8,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-12-24,Contract,,,Цагаан гозгор,,ocds-591adf-MN4975446043RC,,
9,Орон нутгийн хамтын ажиллагааны гэрээ 2024-14,,,2024-12-23,Model Contract,,,Алтан овоо,,ocds-591adf-MN9801095136RC,,
10,Орон нутгийн хамтын ажиллагааны гэрээ 2024-13,,,2024-12-09,Model Contract,,,Улаанчулуут,,ocds-591adf-MN1021390198RC,,
11,Орон нутгийн хамтын ажиллагааны гэрээ 2024-9,,,2024-11-21,Model Contract,,,Цахиурт овоо,,ocds-591adf-MN4329823491RC,,
12,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-11-19,Contract,,,Тайширын нуруу,,ocds-591adf-MN8923581810RC,,
13,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-11-14,Contract,,,Тайширын нуруу,,ocds-591adf-MN3600222115RC,,
14,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-10-30,Contract,,,Талбай-1,,ocds-591adf-MN6343193633RC,,
15,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-10-28,Contract,,,Улаан өндөр-2,,ocds-591adf-MN9548630264RC,,
16,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-10-17,Contract,,,Талбай-1,,ocds-591adf-MN1922957895RC,,
17,Орон нутгийн хамтын ажиллагааны гэрээ 2024-11,,,2024-10-07,Model Contract,,,Эрдэнэцагаан,,ocds-591adf-MN4245235842RC,,
18,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-09-20,Contract,,,Тайширын ар,,ocds-591adf-MN1027128961RC,,
19,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-09-12,Contract,,,Хашаатын ам,,ocds-591adf-MN4946014982RC,,
20,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-09-10,Contract,,,Талбай-1,,ocds-591adf-MN0918629850RC,,
21,Ус ашиглах гэрээ,,,2024-08-30,Contract,,,Халзан хошуу,,ocds-591adf-MN3595974866RC,,
22,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-08-30,Contract,,,,,ocds-591adf-MN7166782505RC,,
23,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-07-31,Contract,,,Тайширын нуруу,,ocds-591adf-MN5332144945RC,,
24,Орон нутгийн хамтын ажиллагааны гэрээ 2024-7,,,2024-07-17,Model Contract,,,Хулман нуур,,ocds-591adf-MN9165659676RC,,
25,Орон нутгийн хамтын ажиллагааны гэрээ 2024-10,,,2024-07-15,Model Contract,,,Төмөрт,,ocds-591adf-MN6749015451RC,,
26,Орон нутгийн хамтын ажиллагааны гэрээ 2024-8,,,2024-07-02,Model Contract,,,Эрвэн хошууны овоо,,ocds-591adf-MN4077485304RC,,
27,Орон нутгийн хамтын ажиллагааны гэрээ 2024-6,,,2024-06-25,Model Contract,,,Тал булаг,,ocds-591adf-MN4964605250RC,,
28,Орон нутгийн хамтын ажиллагааны гэрээ 2024-5,,,2024-06-19,Model Contract,,,Хайлуур жонш,,ocds-591adf-MN9565086778RC,,
29,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-06-17,Contract,,,,,ocds-591adf-MN7680026475RC,,
30,Ус ашиглах гэрээ,,,2024-06-12,Contract,,,Цагаан толгой,,ocds-591adf-MN2942973186RC,,
31,Орон нутгийн хамтын ажиллагааны гэрээ 2024-4,,,2024-06-07,Model Contract,,,Асгат-2,,ocds-591adf-MN0182662424RC,,
32,Ус ашиглах гэрээ,,Contract on water use,2024-06-03,Contract,,,Баян айраг,,ocds-591adf-MN5120076039RC,,
33,Нийгмийн хариуцлагын гэрээ,,,2024-06-03,Contract,,,,,ocds-591adf-MN7401110560RC,,
34,Орон нутгийн хамтын ажиллагааны гэрээ 2024-2,,,2024-05-30,Model Contract,,,Бүдүүн Ухаа,,ocds-591adf-MN7063392167RC,,
35,Орон нутгийн хамтын ажиллагааны гэрээ 2024-1,,,2024-05-30,Model Contract,,,Ерөөлт,,ocds-591adf-MN6097490280RC,,
36,Орон нутгийн хамтын ажиллагааны гэрээ 2024-3,,,2024-05-30,Model Contract,,,Сайн хөөвөр,,ocds-591adf-MN8933367139RC,,
37,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-05-27,Contract,,,Бор өндөрийн хишиг,,ocds-591adf-MN9747240041RC,,
38,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-05-27,Contract,,,Нарангийн ам,,ocds-591adf-MN0198570254RC,,
39,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-05-15,Contract,,,Цагаан өндөр-2,,ocds-591adf-MN8726531438RC,,
40,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-05-10,Contract,,,Салхит,,ocds-591adf-MN6852601809RC,,
41,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-05-10,Contract,,,Салхит,,ocds-591adf-MN6703114424RC,,
42,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-05-10,Contract,,,Салхит,,ocds-591adf-MN9198087151RC,,
43,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-04-24,Contract,,,Тайширын нуруу,,ocds-591adf-MN0087440607RC,,
44,"ОРХОН АЙМАГ, “ЭРДЭНЭТ ҮЙЛДВЭР” ТӨҮГ-ЫН  2024 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,,2024-04-16,Contract,,,,,ocds-591adf-MN1920596302RC,,
45,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-04-16,Contract,,,Хавцгайн амны баагийн улаан,,ocds-591adf-MN2613788413RC,,
46,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-04-12,Contract,,,Угалзын хөндий,,ocds-591adf-MN2914197668RC,,
47,Ажил гүйцэтгэх гэрээ,,Development agreement,2024-04-10,Other,,,Баян айраг,,ocds-591adf-MN2435873588RC,,
48,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-04-04,Contract,,,,,ocds-591adf-MN8173904940RC,,
49,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-04-01,Contract,,,,,ocds-591adf-MN3932802265RC,,
50,Нийгмийн хариуцлагын гэрээ,,,2024-03-27,Contract,,,,,ocds-591adf-MN9720003950RC,,
51,Нийгмийн хариуцлагын гэрээ,,,2024-03-05,Contract,,,,,ocds-591adf-MN5082059728RC,,
52,"ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  2024 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,,2024-03-05,Contract,,,,,ocds-591adf-MN0293844658RC,,
53,"ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН  2024 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,,2024-03-05,Contract,,,,,ocds-591adf-MN7333013516RC,,
54,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-03-04,Contract,,,Дунд ухаа,,ocds-591adf-MN6685026155RC,,
55,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-03-01,Contract,,,Цагаан өндөр-2,,ocds-591adf-MN7736537492RC,,
56,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2024-03-01,Contract,,,Өргөн-3,,ocds-591adf-MN1923108643RC,,
57,"ОРХОН АЙМАГ, “ЗЭС ЭРДЭНИЙН ХУВЬ” ХХК-ИЙН  2024 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,,2024-02-28,Model Contract,,,,,ocds-591adf-MN1308199378RC,,
58,"Орхон аймаг, Зэс эрдэнийн хувь ХХК-ийн хамтран ажиллах гэрээ",,,2024-02-28,Model Contract,,,,,ocds-591adf-MN3613189796RC,,
59,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-12-25,Contract,,,Ганц мод-1,,ocds-591adf-MN4005922253RC,,
60,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-12-25,Contract,,,Ганц мод-2,,ocds-591adf-MN7468004020RC,,
61,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-12-18,Contract,,,Улаан өндөр-2,,ocds-591adf-MN9816851085RC,,
62,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-12-18,Contract,,,Цагаан өндөр-2,,ocds-591adf-MN3605606480RC,,
63,Хартарвагатай ХК,,Localcooperation agreement,2023-12-15,Social Agreement,,,Хартарвагатай,,ocds-591adf-MN5541847908RC,,
64,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-11-24,Contract,,,Талбай-1,,ocds-591adf-MN1998535430RC,,
65,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-11-24,Contract,,,Талбай-1,,ocds-591adf-MN8197578271RC,,
66,ус ашиглах гэрээ,,,2023-11-20,Model Contract,,,Авто замын төсөл,,ocds-591adf-MN7630425528RC,,
67,"Тавантолгой ордын далд уурхайн хайгуул, судалгааны ажил гүйцэтгэх гэрээ",,,2023-10-25,Contract,,,,,ocds-591adf-MN4862568836RC,,
68,ус ашиглах гэрээ,,,2023-10-18,Model Contract,,,Хайрга дайрга,,ocds-591adf-MN8714531475RC,,
69,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-10-10,Contract,,,Хашаатын ам,,ocds-591adf-MN4224846270RC,,
70,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-10-06,Contract,,,Далдын ам,,ocds-591adf-MN2025319156RC,,
71,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN6270510963RC,,
72,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN5635422391RC,,
73,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN8969944836RC,,
74,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN3217649106RC,,
75,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN8844886727RC,,
76,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN2964550734RC,,
77,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN4686824918RC,,
78,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-25,Contract,,,Бор хавцал-2,,ocds-591adf-MN7421377381RC,,
79,"БАЙГАЛЬ ОРЧНЫГ ХАМГААЛАХ, УУРХАЙ АШИГЛАХ, ҮЙЛДВЭР БАЙГУУЛАХТАЙ ХОЛБОГДСОН ДЭД БҮТЦИЙГ ХӨГЖҮҮЛЭХ, АЖЛЫН БАЙР НЭМЭГДҮҮЛЭХ, ХАНДИВ, ТУСЛАМЖ ӨГӨХ ЧИГЛЭЛЭЭР ХАМТРАН АЖИЛЛАХ ГЭРЭЭ",,,2023-09-20,Contract,,,Урд тарагт нэртэй гөлтгөний орд,,ocds-591adf-MN9197423287RC,,
80,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-19,Contract,,,Хашаатын ам,,ocds-591adf-MN4732374882RC,,
81,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-18,Contract,,,Холбоо сайр,,ocds-591adf-MN9672508411RC,,
82,Орон нутгийн хамтын ажиллагааны гэрээ 2023-14,,,2023-09-15,Contract,,,Нагааранз ХХК,,ocds-591adf-MN8899600359RC,,
83,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-13,Contract,,,Сөөгийн дэнж,,ocds-591adf-MN3375588230RC,,
84,"Зөөлөн ресурс ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-09-13,Contract,,,,,ocds-591adf-MN9709247230RC,,
85,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-13,Contract,,,Өгөөмөр тохой,,ocds-591adf-MN1100273773RC,,
86,Нийгмийн хариуцлагын гэрээ,,,2023-09-12,Contract,,,,,ocds-591adf-MN6582637876RC,,
87,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-11,Contract,,,,,ocds-591adf-MN9700297993RC,,
88,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-09-06,Contract,,,Хашаатын ам,,ocds-591adf-MN5548342633RC,,
89,"Боролзой ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-09-04,Contract,,,Боролзой ХХК,,ocds-591adf-MN6692394805RC,,
90,"Цогц эрин транс ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-08-31,Contract,,,Шар хоолойн алтны  шороон орд,,ocds-591adf-MN2425750582RC,,
91,"Land-Ore ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-08-23,Contract,,,,,ocds-591adf-MN5673641178RC,,
92,"Бакунатур ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-08-15,Contract,,,Бакунатур ХХК,,ocds-591adf-MN3996446727RC,,
93,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-08-14,Contract,,,Ивээлт термэс,,ocds-591adf-MN7915147608RC,,
94,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-31,Contract,,,Талбай-1,,ocds-591adf-MN5802273404RC,,
95,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-31,Contract,,,Талбай-1,,ocds-591adf-MN5746975914RC,,
96,Орон нутгийн хамтын ажиллагааны гэрээ 2023-17,,,2023-07-28,Contract,,,Дорнын чулуулаг ХХК,,ocds-591adf-MN1197967055RC,,
97,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-28,Contract,,,Талбай-1,,ocds-591adf-MN8247272287RC,,
98,"Цэн газарХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-07-24,Contract,,,Цэнгазар,,ocds-591adf-MN0032683354RC,,
99,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-07-24,Contract,,,Салтгарын ам,,ocds-591adf-MN9518800372RC,,
100,Орон нутгийн хамтын ажиллагааны гэрээ 2023-15,,,2023-07-21,Contract,,,Монголжүюаньли ХХК,,ocds-591adf-MN7928423046RC,,
101,"Хүннү-Алтай минериалсХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-07-21,Contract,,,Хүрэн хүүрсний орд,,ocds-591adf-MN7058454179RC,,
102,ус ашиглах гэрээ,,,2023-07-18,Model Contract,,,Хайрга дайрга,,ocds-591adf-MN3887855005RC,,
103,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-14,Contract,,,Сэнжит-4,,ocds-591adf-MN0279292356RC,,
104,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-07,Contract,,,Тайширын нуруу,,ocds-591adf-MN2627392622RC,,
105,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-07,Contract,,,Тайширын ар,,ocds-591adf-MN5536598565RC,,
106,Нэтэнт ХХК-ий 2023 оны хамтын ажиллагааны гэрээ,,,2023-07-07,Social Agreement,,,Цагаан хөшөөн адаг,,ocds-591adf-MN4499516050RC,,
107,Чандмань Уулын хишиг  ХХК-ий 2023 оны хамтын ажиллагааны гэрээ,,,2023-07-07,Social Agreement,,,Арсай,,ocds-591adf-MN3660947885RC,,
108,Энержи Импайр  ХХК-ий 2023 оны хамтын ажиллагааны гэрээ,,,2023-07-07,Social Agreement,,,Арсайн Сайр,,ocds-591adf-MN9392129646RC,,
109,Орон нутгийн хамтын ажиллагааны гэрээ 2023-12,,,2023-07-06,Contract,,,Эм Эл Цахиурт овоо ХХК,,ocds-591adf-MN9909586192RC,,
110,Орон нутгийн хамтын ажиллагааны гэрээ 2023-13,,,2023-07-06,Contract,,,Андын Илч ХХК,,ocds-591adf-MN7712985965RC,,
111,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-06,Contract,,,Хөлийн холбоо-1,,ocds-591adf-MN0141686036RC,,
112,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-07-06,Contract,,,Сэнжит-5,,ocds-591adf-MN8526488318RC,,
