#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
1.	ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ	Зэс;	Бусад	2025-01-31	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	Эрдмин ХХК			ocds-591adf-MN8223166332RC		
2.	ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  ХАМТРАН АЖИЛЛАХ ГЭРЭЭ	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	Эрдмин ХХК			ocds-591adf-MN0113539065RC		
3.	ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН ХАМТЫН АЖИЛЛАГААНЫ ГЭРЭЭ	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	АЧИТ ИХТ ХХК			ocds-591adf-MN0358859208RC		
4.	ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН  2025 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	АЧИТ ИХТ ХХК			ocds-591adf-MN0358859208RC-1391		
5.	Орхон аймаг, Зэс эрдэнийн хувь ХХК-ийн 2025 оны хамтын ажиллагааны төлөвлөгөө	Зэс;	Бусад	2025-01-30	Загвар гэрээ	Орхон аймгийн Засаг даргын Тамгын газар;	Зэс эрдэнийн хувь ХХК			ocds-591adf-MN5140443696RC		
6.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2025-01-22	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Баялаг ундрагатай наран	Хамар буянтын адаг		ocds-591adf-MN5860466568RC		
7.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Хайлуур Жонш;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2025-01-17	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Өндөр баялаг шувуут	Улаан өндөр-2		ocds-591adf-MN4672069645RC		
8.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Хайлуур Жонш;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2025-01-13	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Дамдин чойням	Улаан өндөр-2		ocds-591adf-MN1766243547RC		
9.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2024-12-24	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Орхон нутгийн буян	Цагаан гозгор		ocds-591adf-MN4975446043RC		
10.	Орон нутгийн хамтын ажиллагааны гэрээ 2024-14	Хайлуур Жонш;	Орон нутагтай хамтран ажиллах гэрээ	2024-12-23	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Уулбаян сумын ЗДТГ;	Сунхунголд ХХК	Алтан овоо		ocds-591adf-MN9801095136RC		
11.	Орон нутгийн хамтын ажиллагааны гэрээ 2024-13	Хүрэн Нүүрс;	Орон нутагтай хамтран ажиллах гэрээ	2024-12-09	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Сүхбаатар сумын ЗДТГ;	Нагааранз ХХК	Улаанчулуут		ocds-591adf-MN1021390198RC		
12.	Орон нутгийн хамтын ажиллагааны гэрээ 2024-9	Төмрийн Хүдэр;	Орон нутагтай хамтран ажиллах гэрээ	2024-11-21	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Уулбаян сумын ЗДТГ;	Эм Эл Цахиурт овоо ХХК	Цахиурт овоо		ocds-591adf-MN4329823491RC		
13.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2024-11-19	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Атар баянгол гоулд	Тайширын нуруу		ocds-591adf-MN8923581810RC		
14.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2024-11-14	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Баян намсрайхан	Тайширын нуруу		ocds-591adf-MN3600222115RC		
15.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Хайлуур Жонш;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2024-10-30	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Ханан цав	Талбай-1		ocds-591adf-MN6343193633RC		
16.	Бичил уурхайгаар ашигт малтмал олборлох гэрээ	Хайлуур Жонш;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2024-10-28	Гэрээ	Монголын бичил уурхайн нэгдсэн дээвэр холбоо;	Баян жоншит ухаа	Улаан өндөр-2		ocds-591adf-MN9548630264RC		
